station1,station2,line,time
2,3,2,2
2,3,5,2
3,42,2,3
3,42,5,3
42,45,2,2
42,45,5,2
45,30,3,3
45,30,7,3
45,30,5,3
30,29,3,2
30,29,5,2
29,39,3,3
29,39,5,3
29,79,3,2
79,53,3,2
53,29,2,3
28,29,2,2
28,27,2,5
28,39,1,3
39,31,1,3
39,62,1,4
39,62,2,4
39,28,2,3
28,76,2,3
76,47,2,2
47,27,1,2
27,63,1,3
47,62,1,2
47,13,1,2
47,13,2,3
13,44,1,2
13,44,2,2
44,48,1,3
44,48,2,3
48,52,1,3
52,35,1,2
35,32,1,3
32,25,1,2
32,55,3,2
25,73,4,2
25,10,4,2
10,34,4,2
34,1,4,4
1,25,9,6
40,37,1,2
40,55,9,2
37,33,1,2
33,49,1,3
33,57,4,3
33,65,4,3
33,67,4,2
49,41,1,2
41,24,1,2
24,62,1,2
62,36,1,2
62,36,2,4
36,19,1,2
19,58,2,3
58,8,2,3
8,46,2,2
46,43,2,2
43,56,6,2
56,66,6,2
66,67,4,3
66,67,6,2
67,57,4,2
67,50,5,4
57,65,4,2
65,54,4,3
65,50,1,2
54,33,3,3
27,20,4,2
27,20,3,2
27,20,6,2
27,66,2,2
20,49,1,2
20,61,3,2
61,27,3,2
66,26,8,4
26,14,8,2
14,43,8,2
43,8,8,5
8,45,8,3
8,45,2,3
45,18,3,3
18,61,3,3
28,53,1,3
53,76,1,2
15,59,8,3
59,38,8,2
38,26,8,4
26,64,1,3
64,65,1,3
64,66,2,4
50,65,5,2
50,64,2,3
65,54,3,3
65,33,5,3
66,61,4,3
61,20,4,3
61,27,6,3
42,58,2,4
45,18,4,4
30,45,4,4
18,9,4,4
9,39,4,5
9,45,7,4
39,68,8,4
68,15,8,5
59,21,8,3
21,22,8,2
22,23,8,2
23,51,8,6
51,74,4,3
74,73,4,2
73,72,4,2
72,10,4,2
10,25,4,3
31,62,9,5
62,39,9,4
39,28,9,3
28,53,1,2
53,13,1,3
13,47,1,2
47,33,1,3
33,64,1,5
64,66,1,4
42,63,3,4
63,47,3,5
63,2,3,5
2,18,3,4
18,46,3,2
46,8,3,3
8,66,3,5
66,27,3,4
27,20,3,4
20,67,3,3
67,65,3,4
65,57,3,3
57,54,3,3
54,55,3,3
55,32,3,3
32,35,3,3
35,25,3,4
25,34,3,5
34,80,3,3
80,73,3,3
35,32,4,3
32,25,4,2
72,35,4,2
35,33,4,6
47,53,1,2
53,70,1,6
66,8,2,4
8,19,2,3
36,62,2,3
62,47,2,4
47,13,2,2
13,44,2,3
44,52,2,4
48,33,9,5
33,40,9,2
40,41,9,2
41,24,9,2
24,62,9,4
1,31,9,7
31,60,9,6
43,56,6,2
56,17,6,2
17,16,6,3
66,27,6,2
27,33,6,3
33,13,6,4
13,39,6,5
60,12,2,3
12,42,2,5
58,19,2,3
19,36,2,2
36,41,1,2
