id,latitude,longitude,name,display_name,zone,total_lines
1,51.5028,-0.2801,Acton Town,Acton<br />Town,3,2
2,51.5143,-0.0755,Aldgate,Aldgate,1,2
3,51.5154,-0.0726,Aldgate East,Aldgate<br />East,1,2
4,51.5412,-0.2990,Alperton,Alperton,4,1
5,51.6401,-0.6076,Amersham,Amersham,9,1
6,51.6525,-0.3974,Chesham,Chesham,9,1
7,51.5685,-0.1979,Angel,Angel,1,1
8,51.5196,-0.0992,Bank,Bank,1,2
9,51.5209,-0.0881,Barbican,Barbican,1,3
10,51.4904,-0.2139,Barons Court,Barons<br />Court,2,2
11,51.4980,-0.0181,Bermondsey,Bermondsey,2,1
12,51.5269,-0.0558,Bethnal Green,Bethnal<br />Green,2,1
13,51.5154,-0.1546,Bond Street,Bond<br />Street,1,2
14,51.4938,-0.0875,Borough,Borough,1,1
15,51.4627,-0.1139,Brixton,Brixton,2,1
16,51.5051,-0.0235,Canary Wharf,Canary<br />Wharf,2,1
17,51.4985,-0.0505,Canada Water,Canada<br />Water,2,2
18,51.5107,-0.0901,Cannon Street,Cannon<br />Street,1,2
19,51.5185,-0.1111,Chancery Lane,Chancery<br />Lane,1,1
20,51.5081,-0.1247,Charing Cross,Charing<br />Cross,1,1
21,51.4618,-0.1380,Clapham Common,Clapham<br />Common,2,1
22,51.4642,-0.1293,Clapham North,Clapham<br />North,2,1
23,51.4573,-0.1469,Clapham South,Clapham<br />South,2,1
24,51.5130,-0.1228,Covent Garden,Covent<br />Garden,1,1
25,51.4914,-0.1934,Earls Court,Earls<br />Court,2,2
26,51.4943,-0.1008,Elephant and Castle,Elephant &<br />Castle,1,2
27,51.5074,-0.1223,Embankment,Embankment,1,4
28,51.5282,-0.1338,Euston,Euston,1,2
29,51.5261,-0.1359,Euston Square,Euston<br />Square,1,3
30,51.5203,-0.1053,Farringdon,Farringdon,1,3
31,51.5642,-0.1069,Finsbury Park,Finsbury<br />Park,2,2
32,51.4941,-0.1829,Gloucester Road,Gloucester<br />Road,1,3
33,51.5036,-0.1426,Green Park,Green<br />Park,1,3
34,51.4934,-0.2251,Hammersmith,Hammersmith,2,4
35,51.5007,-0.1920,High Street Kensington,High St<br />Kensington,1,2
36,51.5174,-0.1202,Holborn,Holborn,1,2
37,51.5025,-0.1604,Hyde Park Corner,Hyde Park<br />Corner,1,1
38,51.4751,-0.1048,Kennington,Kennington,2,1
39,51.5308,-0.1238,Kings Cross St Pancras,King's Cross<br />St. Pancras,1,5
40,51.5016,-0.1606,Knightsbridge,Knightsbridge,1,1
41,51.5113,-0.1281,Leicester Square,Leicester<br />Square,1,2
42,51.5178,-0.0823,Liverpool Street,Liverpool<br />Street,1,4
43,51.5055,-0.0863,London Bridge,London<br />Bridge,1,2
44,51.5130,-0.1589,Marble Arch,Marble<br />Arch,1,1
45,51.5186,-0.0886,Moorgate,Moorgate,1,4
46,51.5101,-0.0863,Monument,Monument,1,2
47,51.5154,-0.1415,Oxford Circus,Oxford<br />Circus,1,3
48,51.5154,-0.1755,Paddington,Paddington,1,4
49,51.5098,-0.1342,Piccadilly Circus,Piccadilly<br />Circus,1,2
50,51.4894,-0.1334,Pimlico,Pimlico,1,1
51,51.4684,-0.2100,Putney Bridge,Putney<br />Bridge,3,1
52,51.5101,-0.1874,Queensway,Queensway,1,1
53,51.5238,-0.1468,Regents Park,Regent's<br />Park,1,1
54,51.4924,-0.1569,Sloane Square,Sloane<br />Square,1,2
55,51.4941,-0.1745,South Kensington,South<br />Kensington,1,3
56,51.5038,-0.1050,Southwark,Southwark,1,1
57,51.4994,-0.1335,St James Park,St. James's<br />Park,1,1
58,51.5148,-0.0973,St Pauls,St. Paul's,1,1
59,51.4721,-0.1225,Stockwell,Stockwell,2,2
60,51.5415,-0.0042,Stratford,Stratford,3,3
61,51.5111,-0.1141,Temple,Temple,1,2
62,51.5165,-0.1301,Tottenham Court Road,Tottenham<br />Court Road,1,2
63,51.5098,-0.0765,Tower Hill,Tower<br />Hill,1,2
64,51.4861,-0.1253,Vauxhall,Vauxhall,1,2
65,51.4965,-0.1447,Victoria,Victoria,1,3
66,51.5036,-0.1143,Waterloo,Waterloo,1,4
67,51.5013,-0.1276,Westminster,Westminster,1,3
68,51.5398,-0.1426,Kentish Town,Kentish<br />Town,2,1
69,51.5519,-0.1784,Kilburn,Kilburn,2,1
70,51.5583,-0.2355,Wembley Central,Wembley<br />Central,4,1
71,51.5637,-0.1773,Willesden Junction,Willesden<br />Junction,3,2
72,51.4952,-0.2139,West Kensington,West<br />Kensington,2,1
73,51.4905,-0.1876,Fulham Broadway,Fulham<br />Broadway,2,1
74,51.4752,-0.1861,Parsons Green,Parsons<br />Green,2,1
75,51.5152,-0.1416,Oxford Circus (Bakerloo),Oxford<br />Circus,1,1
76,51.5216,-0.1569,Warren Street,Warren<br />Street,1,2
77,51.5345,-0.0547,Bethnal Green (Central),Bethnal<br />Green,2,1
78,51.4980,-0.0901,Bermondsey (Jubilee),Bermondsey,2,1
79,51.5245,-0.1600,Great Portland Street,Great Portland<br />Street,1,3
80,51.4988,-0.1773,West Brompton,West<br />Brompton,2,2
